id,naziv,lat,lon,grad,podrucje,zupanija,konacna_ocjena
526,Bazen,44.10777777777777777777777777777777777778,15.23055555555555555555555555555555555556,Zadar,Zadar,Zadarska,izvrsno
527,Borik,44.13401252421397,15.208972692489624,Zadar,Zadar,Zadarska,izvrsno
528,Diklo-Sjever,44.14972222222222222222222222222222222222,15.205,Zadar,Zadar,Zadarska,izvrsno
529,Diklovac-Sjever,44.14194444444444444444444444444444444444,15.21027777777777777777777777777777777778,Zadar,Zadar,Zadarska,izvrsno
530,Hotel Donat,44.13694444444444444444444444444444444444,15.21,Zadar,Zadar,Zadarska,izvrsno
531,Hotel Kolovare,44.10416666666666666666666666666666666667,15.23416666666666666666666666666666666667,Zadar,Zadar,Zadarska,izvrsno
532,Jadran,44.12222222222222222222222222222222222222,15.22305555555555555555555555555555555556,Zadar,Zadar,Zadarska,dobro
533,Kolovare-Mulic,44.10638888888888888888888888888888888889,15.23222222222222222222222222222222222222,Zadar,Zadar,Zadarska,izvrsno
534,Punta Bajlo,44.09527777777777777777777777777777777778,15.24777777777777777777777777777777777778,Zadar,Zadar,Zadarska,izvrsno
535,Puntamika-Zapad,44.13333333333333333333333333333333333333,15.20444444444444444444444444444444444444,Zadar,Zadar,Zadarska,izvrsno
536,Vitrenjak,44.12777777777777777777777777777777777778,15.21277777777777777777777777777777777778,Zadar,Zadar,Zadarska,dobro
537,Zgon,44.13861111111111111111111111111111111111,15.21277777777777777777777777777777777778,Zadar,Zadar,Zadarska,izvrsno
538,Zapuntel -Sibinjski Rt,44.25722222222222222222222222222222222222,14.78888888888888888888888888888888888889,Molat,Zapuntel (Otok Molat),Zadarska,izvrsno
539,Jaz,44.225,15.16388888888888888888888888888888888889,Nin,Zaton,Zadarska,izvrsno
540,Plisa,44.21916666666666666666666666666666666667,15.16333333333333333333333333333333333333,Nin,Zaton,Zadarska,izvrsno
541,Zaton H.R. 1,44.23194444444444444444444444444444444444,15.16083333333333333333333333333333333333,Nin,Zaton,Zadarska,izvrsno
542,Zaton H.R. 2,44.229917832688656,15.163214206695556,Nin,Zaton,Zadarska,izvrsno
543,Uvala Zverinac,44.16111111111111111111111111111111111111,14.91416666666666666666666666666666666667,Sali,Zverinac (Dugi Otok),Zadarska,izvrsno
544,Uvala Svetog Luke,44.01277777777777777777777777777777777778,15.27888888888888888888888888888888888889,Pašman,Ždrelac,Zadarska,izvrsno
545,Kumenat,43.92222222222222222222222222222222222222,15.45888888888888888888888888888888888889,Biograd n/m,,Zadarska,izvrsno
546,"Kaprije, mjesto",43.684803180553715,15.710256099700927,Šibenik,Kaprije,Šibensko-kninska,izvrsno
547,"Sepurina plaza,",43.5365560760734,15.95912218093872,Rogoznica,"Rogoznica, Lozica",Šibensko-kninska,izvrsno
548,Hotel Borovnik,43.79612814894592,15.632600784301757,Tisno,Tisno,Šibensko-kninska,izvrsno
549,"Zlarin, mjesto",43.6985652900827,15.832629203796386,Šibenik,Zlarin,Šibensko-kninska,izvrsno
550,"Zlarin, Punta",43.70266073088685,15.833959579467773,Šibenik,Zlarin,Šibensko-kninska,izvrsno
551,"Murter, Hramina",43.821972526818335,15.585200786590576,Murter Kornati,,Šibensko-kninska,izvrsno
552,"Murter, Slanica",43.815779566596575,15.579192638397216,Murter Kornati,,Šibensko-kninska,izvrsno
553,"Murter, Slanica  kraj",43.81653967,15.57556014,Murter Kornati,,Šibensko-kninska,izvrsno
554,"Murter, Slanica-Colentum",43.81672403453942,15.578269958496093,Murter Kornati,,Šibensko-kninska,izvrsno
555,"Murter, Vucigradje",43.806272122923666,15.590028762817382,Murter Kornati,,Šibensko-kninska,izvrsno
556,"Pirovac, Hotel   Miran",43.822328602502004,15.657062530517578,Pirovac,,Šibensko-kninska,izvrsno
557,"Pirovac, Lolic kraj",43.82047222222222222222222222222222222222,15.66105555555555555555555555555555555556,Pirovac,,Šibensko-kninska,izvrsno
558,"Pirovac, Lolic, pocetak",43.819325114927615,15.662298202514648,Pirovac,,Šibensko-kninska,izvrsno
559,"Pirovac, Lolic sredina",43.820037295750204,15.66225528717041,Pirovac,,Šibensko-kninska,izvrsno
560,"Pirovac, Starine",43.815160235245905,15.672404766082763,Pirovac,,Šibensko-kninska,izvrsno
561,"Pirovac, Starine kraj",43.81494444444444444444444444444444444444,15.67377777777777777777777777777777777778,Pirovac,,Šibensko-kninska,izvrsno
562,Autocamp Adriatc,43.60736111111111111111111111111111111111,15.92308333333333333333333333333333333333,Primošten,,Šibensko-kninska,izvrsno
563,"Autocamp Adriatic, kraj",43.6052407504537,15.918867588043213,Primošten,,Šibensko-kninska,izvrsno
564,"Autocamp Adriatic, sredina",43.606810036550875,15.919060707092285,Primošten,,Šibensko-kninska,izvrsno
565,Hotel   Raduca,43.59229646332985,15.917580127716064,Primošten,,Šibensko-kninska,izvrsno
566,Hotel   Zora,43.5889602,15.91954012,Primošten,,Šibensko-kninska,izvrsno
567,Lokvice,43.58546579226576,15.926774740219116,Primošten,,Šibensko-kninska,izvrsno
568,Primosten bazen,43.58975381,15.91811862,Primošten,,Šibensko-kninska,izvrsno
569,Raduca mala,43.58739487,15.92297604,Primošten,,Šibensko-kninska,izvrsno
570,Raduca velika,43.58977777777777777777777777777777777778,15.92180555555555555555555555555555555556,Primošten,,Šibensko-kninska,izvrsno
571,"Raduca velika, izlaz",43.59106676,15.92097842,Primošten,,Šibensko-kninska,izvrsno
572,"Raduca velika, pocetak",43.58985604,15.92249764,Primošten,,Šibensko-kninska,izvrsno
573,"Raduca velika, sredina",43.59043151061995,15.921281576156616,Primošten,,Šibensko-kninska,izvrsno
574,Gornji muli,43.52419444444444444444444444444444444444,15.97383333333333333333333333333333333333,Rogoznica,,Šibensko-kninska,izvrsno
575,Racice,43.52580555555555555555555555555555555556,15.97302777777777777777777777777777777778,Rogoznica,,Šibensko-kninska,izvrsno
576,Skradin mjesto,43.81704515,15.92778492,Skradin,,Šibensko-kninska,zadovoljavajuće
577,Autocamp   Solaris,43.69752975079823,15.878119468688964,Šibenik,,Šibensko-kninska,izvrsno
578,Autocamp   Zablace,43.70492551361975,15.867347717285156,Šibenik,,Šibensko-kninska,izvrsno
579,"Autocamp Solaris, kraj",43.69671139062282,15.879063606262207,Šibenik,,Šibensko-kninska,izvrsno
580,"Autocamp, Zablace, kraj",43.70385518175827,15.868055820465088,Šibenik,,Šibensko-kninska,izvrsno
581,"Brodarica, , Rezaliste",43.69284051200237,15.902280807495117,Šibenik,,Šibensko-kninska,izvrsno
582,"Brodarica, mjesto",43.68788325048301,15.908868312835693,Šibenik,,Šibensko-kninska,izvrsno
583,"Brodarica Rezaliste, kraj",43.69329044659915,15.900521278381347,Šibenik,,Šibensko-kninska,izvrsno
584,"Brodarica, Zlatna ribica",43.677889903747364,15.916603803634643,Šibenik,,Šibensko-kninska,izvrsno
585,Galesnica,43.6374650500323,15.956971049308776,Šibenik,,Šibensko-kninska,izvrsno
586,"Grebastica,",43.63414943955179,15.961793661117553,Šibenik,,Šibensko-kninska,izvrsno
587,"Jadrija, Bazen",43.72428126075964,15.843604803085327,Šibenik,,Šibensko-kninska,izvrsno
588,"Jadrija, kabine desno",43.72341286761563,15.845375061035156,Šibenik,,Šibensko-kninska,izvrsno
589,"Jadrija, kabine lijevo",43.722792579091525,15.846179723739624,Šibenik,,Šibensko-kninska,izvrsno
590,"Jadrija, kraj",43.727,15.83775,Šibenik,,Šibensko-kninska,izvrsno
591,"Jadrija, sredina",43.72552180055757,15.841319561004638,Šibenik,,Šibensko-kninska,izvrsno
592,Jasenovo,43.65218508271347,15.949101448059082,Šibenik,,Šibensko-kninska,izvrsno
593,Krapanj Hotel Spongiola,43.67563185962536,15.913567543029785,Šibenik,,Šibensko-kninska,izvrsno
594,Morinje,43.6769277235145,15.946794748306274,Šibenik,,Šibensko-kninska,izvrsno
595,"Obonjan, mjesto",43.67857222222222222222222222222222222222,15.7885,Šibenik,,Šibensko-kninska,izvrsno
596,Plaza Crnica - Banj,43.74091179,15.88389354,Šibenik,,Šibensko-kninska,izvrsno
597,Plaza Crnica - Banj kraj,43.74193735,15.88302189,Šibenik,,Šibensko-kninska,izvrsno
598,"Solaris H. Jure, Palma",43.69405989,15.8834842,Šibenik,,Šibensko-kninska,izvrsno
599,Solaris H. Jure sredina,43.69411591,15.88518125,Šibenik,,Šibensko-kninska,izvrsno
600,"Solaris, Hotel   Andrija",43.69594452,15.89125678,Šibenik,,Šibensko-kninska,izvrsno
601,"Solaris, Hotel   Ivan",43.6942335,15.88837115,Šibenik,,Šibensko-kninska,izvrsno
602,"Solaris, Hotel   Jure",43.6939519,15.88619757,Šibenik,,Šibensko-kninska,izvrsno
603,"Solaris, Hotel   Niko",43.69461307961679,15.880823135375976,Šibenik,,Šibensko-kninska,izvrsno
604,Solaris Wellnes,43.69504398,15.88877767,Šibenik,,Šibensko-kninska,izvrsno
605,Sparadici,43.63138888888888888888888888888888888889,15.9485,Šibenik,,Šibensko-kninska,izvrsno
606,"Zaton, mjesto",43.78029701195942,15.832414627075195,Šibenik,,Šibensko-kninska,dobro
607,"Zaboric, mjesto",43.661833441992066,15.939788818359375,Šibenik,,Šibensko-kninska,izvrsno
608,"Zaboric, pjesak",43.664410215275325,15.93893051147461,Šibenik,,Šibensko-kninska,izvrsno
609,"Zaboric, sljunak",43.662764818592784,15.937954187393188,Šibenik,,Šibensko-kninska,izvrsno
610,"Betina, Kosirina pijesak",43.79699548733474,15.609383583068847,Tisno,,Šibensko-kninska,izvrsno
611,"Betina, Kosirina sljunak",43.79413012511182,15.60582160949707,Tisno,,Šibensko-kninska,izvrsno
612,"Betina, Plitka vala",43.80557526378015,15.613653659820556,Tisno,,Šibensko-kninska,izvrsno
613,"Betina, Zdrace",43.82461111111111111111111111111111111111,15.59813888888888888888888888888888888889,Tisno,,Šibensko-kninska,izvrsno
614,"Jezera, Lovisca",43.7939597478953,15.627686977386474,Tisno,,Šibensko-kninska,izvrsno
615,"Jezera, mjesto",43.78342639499274,15.647621154785156,Tisno,,Šibensko-kninska,izvrsno
616,"Tisno, Jazine",43.81032923026193,15.630390644073486,Tisno,,Šibensko-kninska,izvrsno
617,Tisno Rastovac,43.79965937652719,15.65774917602539,Tisno,,Šibensko-kninska,izvrsno
618,Tisno Rastovac Hostin,43.79936111111111111111111111111111111111,15.65733333333333333333333333333333333333,Tisno,,Šibensko-kninska,izvrsno
619,"Tisno, Sv. Andrija",43.792287,15.64824842,Tisno,,Šibensko-kninska,izvrsno
620,"Tribunj, Sovlja",43.763345923369854,15.728709697723388,Tribunj,,Šibensko-kninska,izvrsno
621,"Tribunj, Zamalin",43.75751576,15.74061894,Tribunj,,Šibensko-kninska,izvrsno
622,"Vodice, Hotel   Punta",43.75191666666666666666666666666666666667,15.77036111111111111111111111111111111111,Vodice,,Šibensko-kninska,izvrsno
623,Hotel  Imperijal,43.752721929044625,15.786902904510498,Vodice,,Šibensko-kninska,izvrsno
624,Hotel Olympia kraj,43.75400837737922,15.784564018249511,Vodice,,Šibensko-kninska,izvrsno
625,Hotel Olympia pocetak,43.75496157126032,15.78361988067627,Vodice,,Šibensko-kninska,izvrsno
626,Plava plaza kraj,43.75307066777112,15.764157772064209,Vodice,,Šibensko-kninska,izvrsno
627,Plava plaza sredina,43.75315,15.76644444444444444444444444444444444444,Vodice,,Šibensko-kninska,izvrsno
628,"Prvic Luka, mjesto",43.72190833333333333333333333333333333333,15.79853888888888888888888888888888888889,Vodice,,Šibensko-kninska,izvrsno
629,"Prvic Sepurin, mjesto",43.73093055555555555555555555555555555556,15.78710833333333333333333333333333333333,Vodice,,Šibensko-kninska,izvrsno
630,"Srima, Lovetovo",43.75034270173097,15.789799690246582,Vodice,,Šibensko-kninska,izvrsno
631,"Srima, mjesto",43.74362300506472,15.803285837173462,Vodice,,Šibensko-kninska,izvrsno
632,"Srima, mjesto sredina",43.74477277,15.79950428,Vodice,,Šibensko-kninska,izvrsno
633,Tobogan,43.7534763,15.78610605,Vodice,,Šibensko-kninska,izvrsno
634,Vodice Hangar,43.75601309,15.78284834,Vodice,,Šibensko-kninska,izvrsno
635,"Vodice, Hotel   Olympia",43.754488850989375,15.78409194946289,Vodice,,Šibensko-kninska,izvrsno
636,Vodice Odmaraliste,43.75391666666666666666666666666666666667,15.77358333333333333333333333333333333333,Vodice,,Šibensko-kninska,izvrsno
637,"Vodice, Plava plaza",43.75383333333333333333333333333333333333,15.76844444444444444444444444444444444444,Vodice,,Šibensko-kninska,izvrsno
638,Borak,43.25865117611428,16.643235683441162,Bol,Brač,Splitsko-dalmatinska,izvrsno
639,Martinica,43.26108111451468,16.66805148124695,Bol,Brač,Splitsko-dalmatinska,izvrsno
640,Zlatni Rat 1,43.255861706049146,16.632914543151855,Bol,Brač,Splitsko-dalmatinska,izvrsno
641,Zlatni Rat 2,43.2558304507587,16.634888648986816,Bol,Brač,Splitsko-dalmatinska,izvrsno
642,Bijaka,43.32953266950751,16.43580436706543,Milna,Brač,Splitsko-dalmatinska,izvrsno
643,Vlaska,43.329064406046854,16.438615322113037,Milna,Brač,Splitsko-dalmatinska,izvrsno
644,Hotel Park,43.37872703038374,16.62458896636963,Postira,Brač,Splitsko-dalmatinska,izvrsno
645,Prvlja,43.37563892911122,16.62104845046997,Postira,Brač,Splitsko-dalmatinska,izvrsno
646,Zastivanje,43.377978414213906,16.631412506103515,Postira,Brač,Splitsko-dalmatinska,izvrsno
647,Hotel Galeb,43.335073513009284,16.835474967956543,Povlja,Brač,Splitsko-dalmatinska,izvrsno
648,Lanterna,43.340660668598005,16.829853057861328,Povlja,Brač,Splitsko-dalmatinska,izvrsno
649,Macel,43.34814742,16.73709867,Pučišća,Brač,Splitsko-dalmatinska,izvrsno
650,Sv. Rok,43.34978948,16.73730335,Pučišća,Brač,Splitsko-dalmatinska,izvrsno
651,Puntinak,43.27982978884488,16.862683296203613,Selca,Brač,Splitsko-dalmatinska,izvrsno
652,Plaza Baldazar,43.377198595875306,16.605277061462402,Splitska,Brač,Splitsko-dalmatinska,izvrsno
653,Porat,43.285640705176924,16.864957809448242,Sumartin,Brač,Splitsko-dalmatinska,izvrsno
654,Skver,43.28282904077466,16.872403621673584,Sumartin,Brač,Splitsko-dalmatinska,izvrsno
655,Banj - sredina,43.386836446455405,16.546955108642578,Supetar,Brač,Splitsko-dalmatinska,izvrsno
656,Banj 1,43.38713273150107,16.547491550445556,Supetar,Brač,Splitsko-dalmatinska,izvrsno
657,Banj 2,43.38671169442396,16.548328399658203,Supetar,Brač,Splitsko-dalmatinska,izvrsno
658,Hotel Kaktus,43.38699238613365,16.539251804351806,Supetar,Brač,Splitsko-dalmatinska,izvrsno
659,Velika Luka,43.38401386893595,16.537578105926513,Supetar,Brač,Splitsko-dalmatinska,izvrsno
660,Vlacica,43.38517371,16.55100793,Supetar,Brač,Splitsko-dalmatinska,izvrsno
661,Vrilo,43.38516786678733,16.558327674865722,Supetar,Brač,Splitsko-dalmatinska,izvrsno
662,Bunta,43.3861191187685,16.48219585418701,Sutivan,Brač,Splitsko-dalmatinska,izvrsno
663,Lucica,43.38717951321798,16.477346420288086,Sutivan,Brač,Splitsko-dalmatinska,izvrsno
664,"Autokamp Vira, kupaliste",43.19236094,16.4311977,Hvar,Hvar,Splitsko-dalmatinska,izvrsno
665,Gradska Plaza,43.17119488218694,16.433959007263183,Hvar,Hvar,Splitsko-dalmatinska,izvrsno
666,Gradska plaza Bonj,43.17141397272922,16.434645652770996,Hvar,Hvar,Splitsko-dalmatinska,izvrsno
667,Hotel Amfora,43.171695659414446,16.43404483795166,Hvar,Hvar,Splitsko-dalmatinska,izvrsno
668,Hvarska Milna - istok,43.16202367,16.48689508,Hvar,Hvar,Splitsko-dalmatinska,izvrsno
669,Hvarska Milna - zapad,43.16167934,16.48573637,Hvar,Hvar,Splitsko-dalmatinska,izvrsno
670,Plaza Dominikanski samostan,43.168784834350696,16.44279956817627,Hvar,Hvar,Splitsko-dalmatinska,izvrsno
671,Uvala Krizna Luka,43.166562498179395,16.444602012634277,Hvar,Hvar,Splitsko-dalmatinska,izvrsno
672,Uvala Pokonji Dol - istok,43.16276308,16.45555866,Hvar,Hvar,Splitsko-dalmatinska,izvrsno
673,Uvala Pokonji Dol - zapad,43.16284134,16.45446432,Hvar,Hvar,Splitsko-dalmatinska,izvrsno
674,Hotel Fontana,43.166625100305,16.69870376586914,Jelsa,Hvar,Splitsko-dalmatinska,izvrsno
675,Uvala Mina,43.162994070968374,16.704540252685547,Jelsa,Hvar,Splitsko-dalmatinska,izvrsno
676,Hotel Arkada,43.185903501986324,16.585278511047363,Stari Grad,Hvar,Splitsko-dalmatinska,izvrsno
677,Kupaliste Lanterna,43.18333333333333333333333333333333333333,16.58444444444444444444444444444444444444,Stari Grad,Hvar,Splitsko-dalmatinska,izvrsno
678,Uvala Maslinica,43.178518340036945,16.568241119384765,Stari Grad,Hvar,Splitsko-dalmatinska,izvrsno
679,Kupaliste Soline,43.179269414260574,16.690292358398437,Vrboska,Hvar,Splitsko-dalmatinska,izvrsno
680,Torac,43.54819040638942,16.391741037368774,Kaštel Gomilica,Kaštela,Splitsko-dalmatinska,nezadovoljavajuće
681,Baletna skola,43.54825261602423,16.378716230392456,Kaštel Kambelovac,Kaštela,Splitsko-dalmatinska,izvrsno
682,Miljenko i Dobrila,43.55072539700793,16.356582641601562,Kaštel Lukšić,Kaštela,Splitsko-dalmatinska,izvrsno
683,Sulavi,43.55060098277844,16.360809803009033,Kaštel Lukšić,Kaštela,Splitsko-dalmatinska,izvrsno
684,Djardin,43.55038325725886,16.34690523147583,Kaštel Stari,Kaštela,Splitsko-dalmatinska,izvrsno
685,Hotel Palace,43.55065541403543,16.354522705078125,Kaštel Stari,Kaštela,Splitsko-dalmatinska,izvrsno
686,Gojaca,43.54514983223184,16.42827272415161,Kaštel Sućurac,Kaštela,Splitsko-dalmatinska,nezadovoljavajuće
687,K. Stafilic-Gabine,43.54671290869171,16.331605911254883,Kaštel Štafilić,Kaštela,Splitsko-dalmatinska,izvrsno
688,Resnik,43.54050702288354,16.315072774887085,Resnik,Kaštela,Splitsko-dalmatinska,izvrsno
689,Horizont,43.354829137551675,16.948513984680176,Baška Voda,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
690,Ikovac,43.360726489953855,16.941604614257812,Baška Voda,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
691,Mali mulic,43.35679888579945,16.94837987422943,Baška Voda,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
692,Podluka,43.35939261516616,16.944812536239624,Baška Voda,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
693,Uranija,43.35305045845815,16.94937229156494,Baška Voda,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
694,Bračtušs,43.32806152965693,16.978576183319092,Bračtuš,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
695,Berulia,43.36195893299056,16.93795680999756,Brela,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
696,Dugi Rat - istok,43.369774223092214,16.92370891571045,Brela,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
697,Dugi Rat - zapad,43.3704137531595,16.922099590301513,Brela,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
698,Soline Istok,43.3670756439171,16.930747032165527,Brela,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
699,Soline Zapad,43.36730183001838,16.92867636680603,Brela,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
700,Stomarica,43.38034900037737,16.91220760345459,Brela,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
701,Brist - plaza,43.11978078697982,17.321105003356933,Brist,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
702,Drasnice,43.21731174864653,17.108330726623535,Drašnice,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
703,D. Vala - Kod trajekta,43.155480911291896,17.246861457824707,Drvenik,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
704,Gornja Vala,43.15166136762,17.258148193359375,Drvenik,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
705,Gradac - Plaza,43.10875337930414,17.33865737915039,Gradac,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
706,Plaza Igrane,43.193913514989596,17.140345573425293,Igrane,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
707,"Krvavica, odmaraliste",43.32255517010416,16.983790397644043,Krvavica,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
708,Cvitacka,43.31312568747831,16.995849609375,Makarska,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
709,Hotel Dalmacija,43.30178963775831,17.00833797454834,Makarska,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
710,Plaza - centar,43.297682530610814,17.01335906982422,Makarska,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
711,Sveti Petar,43.295215009647144,17.01084852218628,Makarska,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
712,Hotel Podgorka,43.24023205955834,17.07627296447754,Podgora,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
713,Plisivac,43.246234318141624,17.067850828170776,Podgora,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
714,Hotel Alga,43.2700187029664,17.052669525146484,Tučepi,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
715,Kamena,43.260268541404855,17.05979347229004,Tučepi,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
716,Slatina,43.27161233087615,17.04902172088623,Tučepi,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
717,Zaostrog - Plaza,43.13838503147995,17.281923294067383,Zaostrog,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
718,Ak. Dole,43.169035233357945,17.196435928344727,Živogošće,Makarska Rivijera,Splitsko-dalmatinska,izvrsno
719,Plaza Zivogosce,43.18415117151677,17.162060737609863,Živogošće,Makarska Rivijera,Splitsko-dalmatinska,dobro
720,Duce - Luka,43.44120387213277,16.651668548583984,Duće,Omiš,Splitsko-dalmatinska,izvrsno
721,Duce-Golubinka,43.43902263358643,16.67001485824585,Duće,Omiš,Splitsko-dalmatinska,izvrsno
722,Bajnice,43.46078476,16.59401715,Dugi Rat,Omiš,Splitsko-dalmatinska,izvrsno
723,Dugi Rat - Glavica,43.438929150177174,16.645424365997314,Dugi Rat,Omiš,Splitsko-dalmatinska,izvrsno
724,Dugi Rat - Plaza,43.44456905734776,16.63851499557495,Dugi Rat,Omiš,Splitsko-dalmatinska,izvrsno
725,Krilo,43.460426530583334,16.602036952972412,Dugi Rat,Omiš,Splitsko-dalmatinska,izvrsno
726,Sumpetar,43.451474111646164,16.625232696533203,Dugi Rat,Omiš,Splitsko-dalmatinska,izvrsno
727,Ruskamen,43.40810291403966,16.749000549316406,Lokva Rogoznica,Omiš,Splitsko-dalmatinska,izvrsno
728,Autokamp - zapad,43.438960311329644,16.67922019958496,Omiš,Omiš,Splitsko-dalmatinska,izvrsno
729,Brzet,43.435252021511054,16.701579093933105,Omiš,Omiš,Splitsko-dalmatinska,izvrsno
730,Nemira,43.42178808463427,16.709260940551758,Omiš,Omiš,Splitsko-dalmatinska,izvrsno
731,Plaza Punta - pocetak,43.43908495577903,16.68844699859619,Omiš,Omiš,Splitsko-dalmatinska,izvrsno
732,Plaza Punta - sredina,43.44070531025503,16.691150665283203,Omiš,Omiš,Splitsko-dalmatinska,izvrsno
733,Vela Luka,43.414836778542394,16.723251342773438,Omiš,Omiš,Splitsko-dalmatinska,izvrsno
734,Pisak,43.39888940053837,16.86125099658966,Pisak,Omiš,Splitsko-dalmatinska,izvrsno
735,Hotel Lav,43.49264061,16.5366426,Podstrana,Split,Splitsko-dalmatinska,izvrsno
736,Sv. Martin,43.474006443079745,16.56566619873047,Podstrana,Split,Splitsko-dalmatinska,izvrsno
737,Uvala Strozanac,43.49904668,16.53401194,Podstrana,Split,Splitsko-dalmatinska,izvrsno
738,Bacvice - istok,43.50081249,16.44924606,Split,Split,Splitsko-dalmatinska,izvrsno
739,Bacvice - ulaz,43.50224067,16.44769358,Split,Split,Splitsko-dalmatinska,izvrsno
740,Bacvice - zapad,43.50060139,16.4460667,Split,Split,Splitsko-dalmatinska,izvrsno
741,Bene,43.51438256,16.4012672,Split,Split,Splitsko-dalmatinska,izvrsno
742,Firule,43.5002854943415,16.45352840423584,Split,Split,Splitsko-dalmatinska,izvrsno
743,Gusar,43.51645512643928,16.42533302307129,Split,Split,Splitsko-dalmatinska,izvrsno
744,Hotel Split,43.50150468,16.47063133,Split,Split,Splitsko-dalmatinska,izvrsno
745,Jezinac,43.50353844401585,16.41730785369873,Split,Split,Splitsko-dalmatinska,izvrsno
746,Kasjuni,43.50652525,16.40024628,Split,Split,Splitsko-dalmatinska,izvrsno
747,"Stobrec, usce",43.50264372,16.52686327,Split,Split,Splitsko-dalmatinska,izvrsno
748,Zvoncac,43.502760242340216,16.421363353729248,Split,Split,Splitsko-dalmatinska,izvrsno
749,Znjan - istok,43.50147023,16.48093356,Split,Split,Splitsko-dalmatinska,izvrsno
750,Znjan - zapad,43.50142792,16.47602472,Split,Split,Splitsko-dalmatinska,izvrsno
751,Maslinica,43.39980925587919,16.201229095458984,Maslinica,Šolta,Splitsko-dalmatinska,izvrsno
752,Rogačc,43.39338556753629,16.301264762878418,Rogač,Šolta,Splitsko-dalmatinska,izvrsno
753,Marina-Plaza,43.5109152975889,16.11921787261963,Marina,Trogir,Splitsko-dalmatinska,izvrsno
754,Poljica,43.51724871196098,16.13595485687256,Marina,Trogir,Splitsko-dalmatinska,izvrsno
755,Pralisce,43.51687526125086,16.11797332763672,Marina,Trogir,Splitsko-dalmatinska,izvrsno
756,Ak. Vranjica Belvedere,43.50825413158073,16.191916465759277,Seget,Trogir,Splitsko-dalmatinska,izvrsno
757,Apartmani Medena,43.51002825528974,16.205520629882812,Seget,Trogir,Splitsko-dalmatinska,izvrsno
758,Hotel Jadran,43.51713978907595,16.221013069152832,Seget,Trogir,Splitsko-dalmatinska,izvrsno
759,Hotel Medena,43.510930859618135,16.211185455322265,Seget,Trogir,Splitsko-dalmatinska,izvrsno
760,Seget Vranjica,43.512736027779745,16.177797317504883,Seget,Trogir,Splitsko-dalmatinska,izvrsno
761,Sv. Kriz,43.51419101626517,16.29150152206421,Arbanija,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
762,Tri sestrice,43.513910914256606,16.286855936050415,Arbanija,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
763,Kava - istok,43.49223797106299,16.207430362701416,Okrug Donji,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
764,Kava - zapad,43.49412153008908,16.205649375915527,Okrug Donji,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
765,Kuzmica Uvala,43.49351443896768,16.255581378936768,Okrug Gornji,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
766,Marinova Draga,43.50666671353326,16.258220672607422,Okrug Gornji,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
767,Toc,43.496689924995735,16.25972270965576,Okrug Gornji,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
768,Uvala Mavarcica,43.49047889181634,16.272382736206054,Okrug Gornji,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
769,Uvala Milicevo,43.50237113774067,16.257834434509277,Okrug Gornji,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
770,Saldun,43.51046399699564,16.250925064086914,Saldun,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
771,Slatine,43.49977185468669,16.3391375541687,Split/Šlatine,Trogir/Čiovo,Splitsko-dalmatinska,izvrsno
772,Duhanska Stanica,43.51793336559332,16.26422882080078,Trogir,Trogir/Čiovo,Splitsko-dalmatinska,nezadovoljavajuće
